id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
1433,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 10:28:35.135000+00:00
1434,"Opened ColorfulChristmasTrees-by-vectorpile.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-19 10:28:37.550000+00:00
1435,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-19 10:28:39.091000+00:00
1436,          Page timeout,blank,blank,blank,blank,2014-12-19 10:34:43.575000+00:00
1437,"Ad for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 10:36:21.935000+00:00
1438,"Opened emilyj_20140428011414.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-19 10:36:25.654000+00:00
1439,"Front of card clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-19 10:36:26.961000+00:00
1440,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,No one I'd rather ride this life with. ,blank,,2014-12-19 10:36:27.615000+00:00
1441,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,No one I'd rather ride this life with. ,blank,,2014-12-19 10:36:28.846000+00:00
1442,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,No one I'd rather ride this life with. ,blank,emilyj_20140428011414.jpg,2014-12-19 10:36:30.107000+00:00
1443,"Successful coupon: pennytest,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,No one I'd rather ride this life with. ,blank,emilyj_20140428011414.jpg,2014-12-19 10:36:37.833000+00:00
1444,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,No one I'd rather ride this life with. ,blank,,2014-12-19 10:36:49.809000+00:00
1445,          Page timeout,blank,blank,blank,blank,2014-12-19 10:42:31.758000+00:00
1446,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 12:45:18.239000+00:00
1447,"Artist search for Hannah Stafford,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 12:45:25.782000+00:00
1448,"Christmas preference value button,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford",blank,,blank,,2014-12-19 12:45:32.098000+00:00
1449,"Opened hannah_20141210173049.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:45:41.240000+00:00
1450,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:45:51.121000+00:00
1451,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:45:55.260000+00:00
1452,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,ha,blank,,2014-12-19 12:46:01.643000+00:00
1453,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,Happy Holidays!,blank,hannah_20141210173049.jpg,2014-12-19 12:46:37.496000+00:00
1454,"credit,CYNTHIA ,STAFFORD,1418993236----------------------------------------------------------------------------------------",blank,Happy Holidays!,blank,hannah_20141210173049.jpg,2014-12-19 12:47:16.267000+00:00
1455,"Card accepted,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,Happy Holidays!,blank,hannah_20141210173049.jpg,2014-12-19 12:47:21.278000+00:00
1456,blank,blank,blank,blank,blank,2014-12-19 12:47:21.478000+00:00
1457,blank,blank,blank,blank,blank,2014-12-19 12:47:21.592000+00:00
1458,"Design another card clicked,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-19 12:47:40.078000+00:00
1459,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 12:47:52.433000+00:00
1460,"Artist search for Hannah Stafford,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-19 12:48:00.507000+00:00
1461,"Christmas preference value button,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford",blank,,blank,,2014-12-19 12:48:12.124000+00:00
1462,"Opened hannah_20141210173049.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:48:24.665000+00:00
1463,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:48:32.060000+00:00
1464,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,,blank,,2014-12-19 12:48:35.095000+00:00
1465,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Hannah%20Stafford&prefN0=Categories&prefV0=Christmas",blank,Happy Holidays!,blank,hannah_20141210173049.jpg,2014-12-19 12:49:15.890000+00:00
