id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
5602,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:57:19.526000+00:00
5603,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:57:21.087000+00:00
5604,"Opened eli_christopher_20140915231522.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:57:40.998000+00:00
5605,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:57:43.079000+00:00
5606,"Opened tinybee_20141114044421.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:57:52.167000+00:00
5607,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:57:55.724000+00:00
5608,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:57:58.249000+00:00
5609,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:58:01.303000+00:00
5610,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 18:13:35.976000+00:00
5611,          Hourly restart,blank,blank,blank,blank,2014-12-16 18:19:27.756000+00:00
5612,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 19:15:45.065000+00:00
5613,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:15:48.254000+00:00
5614,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 19:15:51.098000+00:00
5615,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 19:15:59.852000+00:00
5616,"Opened tinybee_20141029025132.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 19:16:10.003000+00:00
5617,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 19:16:18.881000+00:00
5618,"Local artists preference value button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 19:16:40.810000+00:00
5619,"Katherine Devine preference value button,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-16 19:16:48.329000+00:00
5620,"Katherine Devine preference value TOP button,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=KatherineSPACEDevine",blank,,blank,,2014-12-16 19:16:53.283000+00:00
5621,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-16 19:16:54.576000+00:00
5622,"Shop Occasions button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 19:16:58.110000+00:00
5623,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 19:17:04.200000+00:00
5624,"Opened KearahDonatoMcAffeeSunset.jpg,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:10.567000+00:00
5625,"X button used to close,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:13.356000+00:00
5626,"Opened KearahDonatoHeritagePark.jpg,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:14.844000+00:00
5627,"X button used to close,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:17.275000+00:00
5628,"Opened KearahDonatoHeritageParkTwo.jpg,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:19.141000+00:00
5629,"X button used to close,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:26.564000+00:00
5630,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-16 19:17:28.238000+00:00
5631,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 20:54:27.350000+00:00
5632,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 20:54:31.123000+00:00
5633,"Opened tinybee_20141125210625.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 20:54:43.438000+00:00
5634,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,tinybee_20141125210625.jpg,2014-12-16 20:54:54.446000+00:00
5635,"credit,COLLEEN MARIE,FRENCH      ,1418763391----------------------------------------------------------------------------------------",blank,,blank,tinybee_20141125210625.jpg,2014-12-16 20:56:31.149000+00:00
5636,"Card accepted,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,tinybee_20141125210625.jpg,2014-12-16 20:56:36.154000+00:00
5637,blank,blank,blank,blank,blank,2014-12-16 20:56:37.268000+00:00
5638,blank,blank,blank,blank,blank,2014-12-16 20:56:37.589000+00:00
5639,"Email address box clicked,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-16 20:56:42.811000+00:00
5640,"Net Promoter value of 10,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-16 20:57:15.982000+00:00
5641,No prints in queue,blank,blank,blank,blank,2014-12-16 20:57:49.144000+00:00
5642,"Printing finished,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-16 20:58:04.177000+00:00
5643,"Preview for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 21:35:20.734000+00:00
5644,RUNNING AGAIN: closing IE,blank,blank,blank,blank,2014-12-16 21:35:34.256000+00:00
5645,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 21:38:23.555000+00:00
5646,"Opened ladylucas_20141028173346.jpg,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-16 21:38:27.870000+00:00
5647,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-16 21:38:28.421000+00:00
5648,          Hourly restart,blank,blank,blank,blank,2014-12-16 21:44:18.223000+00:00
