id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
2280,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-18 15:39:52.459000+00:00
2281,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-18 15:39:54.263000+00:00
2282,"Opened brocards_20141206215232.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:08.828000+00:00
2283,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:22.403000+00:00
2284,"Opened eli_christopher_20140915232844.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:33.396000+00:00
2285,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:41.675000+00:00
2286,"Opened ladylucas_20141028173918.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:47.224000+00:00
2287,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:40:55.651000+00:00
2288,"Opened nettasart2014_20141202040341.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:10.232000+00:00
2289,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:37.926000+00:00
2290,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:47.786000+00:00
2291,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:50.099000+00:00
2292,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:52.121000+00:00
2293,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-18 15:41:53.014000+00:00
2294,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:04.380000+00:00
2295,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:12.085000+00:00
2296,"Opened jerryrendich_20141103221042.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:17.388000+00:00
2297,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:22.630000+00:00
2298,"Opened eli_christopher_20141103041003.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:32.828000+00:00
2299,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:41.758000+00:00
2300,"Opened tinybee_20141114044421.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:45.371000+00:00
2301,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:49.288000+00:00
2302,"Opened eli_christopher_20140915231411.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:42:52.469000+00:00
2303,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:43:01.577000+00:00
2304,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Cheers to a Merry Christmas and a Lucky New Year!,blank,,2014-12-18 15:43:03.967000+00:00
