id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
5415,"Preview for Your Town ad,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 12:13:05.616000+00:00
5416,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 12:13:08.552000+00:00
5417,          Page timeout,blank,blank,blank,blank,2014-12-22 12:19:00.109000+00:00
5418,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:15:10.306000+00:00
5419,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:15:12.637000+00:00
5420,"Opened running.river_20141109033246.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:15:20.552000+00:00
5421,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:15:26.768000+00:00
5422,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:15:29.460000+00:00
5423,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,"You're the icing on top!NEWLINET",blank,,2014-12-22 16:15:41.987000+00:00
5424,"Opened running.river_20141109033246.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,"You're the icing on top!NEWLINET",blank,,2014-12-22 16:15:43.769000+00:00
5425,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:15:46.706000+00:00
5426,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays,blank,,2014-12-22 16:16:25.522000+00:00
5427,"Opened running.river_20141109033246.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays,blank,,2014-12-22 16:16:30.059000+00:00
5428,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:16:32.564000+00:00
5429,"Inside right of card clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:16:34.573000+00:00
5430,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,You're the icing on top!,blank,,2014-12-22 16:16:36.056000+00:00
5431,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,"Happy Holidays Mengjiao!NEWLINENEWLINEHope you find time to relax (away from Williams)!NEWLINENEWLINEThank you for all of your support this semester!",blank,running.river_20141109033246.jpg,2014-12-22 16:18:35.880000+00:00
5432,"credit,,,1419265190----------------------------------------------------------------------------------------",blank,"Happy Holidays Mengjiao!NEWLINENEWLINEHope you find time to relax (away from Williams)!NEWLINENEWLINEThank you for all of your support this semester!",blank,running.river_20141109033246.jpg,2014-12-22 16:19:50.045000+00:00
5433,"Card accepted,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,"Happy Holidays Mengjiao!NEWLINENEWLINEHope you find time to relax (away from Williams)!NEWLINENEWLINEThank you for all of your support this semester!",blank,running.river_20141109033246.jpg,2014-12-22 16:19:55.050000+00:00
5434,blank,blank,blank,blank,blank,2014-12-22 16:19:55.783000+00:00
5435,blank,blank,blank,blank,blank,2014-12-22 16:19:55.934000+00:00
5436,"Design another card clicked,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-22 16:20:02.142000+00:00
5437,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:20:05.800000+00:00
5438,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:20:14.944000+00:00
5439,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:20:15.299000+00:00
5440,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:20:17.358000+00:00
5441,"Opened running.river_20141109035100.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:20:24.132000+00:00
5442,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:20:25.057000+00:00
5443,"Opened eli_christopher_20140915231522.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:20:51.183000+00:00
5444,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:20:58.754000+00:00
5445,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:21:01.757000+00:00
5446,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:21:31.127000+00:00
5447,"credit,,,1419265296----------------------------------------------------------------------------------------",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:21:36.357000+00:00
5448,"1419265296,Output file: 2014-12-22 11:22:07,715 [main] INFO  org.apache.axis2.transport.http.HTTPSender - Unable to sendViaPost to url[https://ec.usatech.com:9443/soap/ec2]NEWLINE",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:22:12.049000+00:00
5449,"Invalid Card Type.,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:22:17.084000+00:00
5450,"credit,SHEREEN M,ELMALLAH,1419265340----------------------------------------------------------------------------------------",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:22:19.952000+00:00
5451,"Error file: Exception in thread ""main"" java.lang.Exception: Response returnCode: 3, returnMessage: Declined, approvedAmount: 0NEWLINE",blank,blank,blank,blank,2014-12-22 16:22:24.900000+00:00
5452,"cancelling transaction while network is down,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays Kathy!,blank,eli_christopher_20140915231522.jpg,2014-12-22 16:22:34.929000+00:00
5453,blank,blank,blank,blank,blank,2014-12-22 16:22:35.914000+00:00
5454,blank,blank,blank,blank,blank,2014-12-22 16:22:36.011000+00:00
5455,"Design another card clicked,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-22 16:22:41.560000+00:00
5456,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:22:43.429000+00:00
5457,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:22:47.890000+00:00
5458,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:22:48.090000+00:00
5459,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:22:48.835000+00:00
5460,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:22:50.200000+00:00
5461,"Opened m_helton26._20141210172703.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:23:02.310000+00:00
5462,"Front of card clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:23:04.399000+00:00
5463,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:23:05.733000+00:00
5464,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Merry Christmas!,blank,,2014-12-22 16:23:29.209000+00:00
5465,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays Vicki!,blank,m_helton26._20141210172703.jpg,2014-12-22 16:23:48.681000+00:00
5466,"credit,SHEREEN M,ELMALLAH,1419265435----------------------------------------------------------------------------------------",blank,Happy Holidays Vicki!,blank,m_helton26._20141210172703.jpg,2014-12-22 16:23:54.937000+00:00
5467,"Error file: Exception in thread ""main"" java.lang.Exception: Response returnCode: 3, returnMessage: Declined, approvedAmount: 0NEWLINE",blank,blank,blank,blank,2014-12-22 16:23:59.914000+00:00
5468,"cancelling transaction while network is down,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Happy Holidays Vicki!,blank,m_helton26._20141210172703.jpg,2014-12-22 16:24:09.946000+00:00
5469,blank,blank,blank,blank,blank,2014-12-22 16:24:10.396000+00:00
5470,blank,blank,blank,blank,blank,2014-12-22 16:24:10.634000+00:00
5471,"Design another card clicked,URL=http://127.0.0.1:8000/kiosk/printing/",blank,,blank,,2014-12-22 16:24:16.238000+00:00
5472,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:24:17.844000+00:00
5473,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:24:20.835000+00:00
5474,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:24:21.855000+00:00
5475,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-22 16:24:26.287000+00:00
5476,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:24:28.038000+00:00
5477,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-22 16:24:29.244000+00:00
5478,"Opened ladylucas_20141028173800.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:25:48.079000+00:00
5479,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:25:54.901000+00:00
5480,"Opened ladylucas_20141013154152.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:25:56.146000+00:00
5481,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:25:58.113000+00:00
5482,"Opened FreeSnowmanVectors-by-webdesignhot.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:26:06.856000+00:00
5483,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:26:16.401000+00:00
5484,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:26:17.584000+00:00
5485,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-22 16:26:19.015000+00:00
