id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
1378,"Preview for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 14:46:04.812000+00:00
1379,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 16:46:44.272000+00:00
1380,"Opened tinybee_20141029025132.jpg,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-07 16:46:50.141000+00:00
1381,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-07 16:46:55.775000+00:00
1382,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:04.082000+00:00
1383,"Text area clicked,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:07.347000+00:00
1384,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:08.524000+00:00
1385,"Front of card button clicked,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:11.700000+00:00
1386,"X button used to close,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:14.848000+00:00
1387,"Opened jerryrendich_20141103221228.jpg,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:33.615000+00:00
1388,"X button used to close,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,This card reminded me of you.,blank,,2014-12-07 16:47:36.581000+00:00
1389,          Hourly restart,blank,blank,blank,blank,2014-12-07 16:53:36.193000+00:00
1390,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 17:08:46.925000+00:00
1391,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 17:08:48.636000+00:00
1392,"Opened tleighanna_20141109041957.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 17:09:00.341000+00:00
1393,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 17:09:01.538000+00:00
1394,          Hourly restart,blank,blank,blank,blank,2014-12-07 17:14:59.281000+00:00
1395,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 17:16:54.461000+00:00
1396,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 17:16:56.575000+00:00
1397,"Opened BlueHolidaysVector-by-Freevectors.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 17:17:18.217000+00:00
1398,"Gray area used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 17:17:18.381000+00:00
1399,          Hourly restart,blank,blank,blank,blank,2014-12-07 17:23:12.092000+00:00
1400,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 18:55:55.776000+00:00
1401,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-07 18:55:58.230000+00:00
1402,"Opened katealbee_20141107210218.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 18:56:16.673000+00:00
1403,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-07 18:56:18.102000+00:00
