id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
2319,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 16:20:11.306000+00:00
2320,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 16:20:14.643000+00:00
2321,"Opened tinybee_20141029025132.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-13 16:20:20.217000+00:00
2322,          Hourly restart,blank,blank,blank,blank,2014-12-13 16:26:10.737000+00:00
2323,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 17:37:06.559000+00:00
2324,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 17:37:07.912000+00:00
2325,"Opened running.river_20140911211437.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-13 17:37:18.442000+00:00
2326,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-13 17:37:23.196000+00:00
2327,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:37:41.529000+00:00
2328,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,running.river_20140911211437.jpg,2014-12-13 17:37:47.042000+00:00
2329,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:39:47.683000+00:00
2330,"Opened running.river_20141109035604.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:39:59.567000+00:00
2331,"Opened katealbee_20141107210323.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:14.972000+00:00
2332,"Front button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:19.077000+00:00
2333,"Front button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:19.806000+00:00
2334,"Front button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:27.752000+00:00
2335,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:29.844000+00:00
2336,"Opened sandramcfarland_20141104053246.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:42.781000+00:00
2337,"Front button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:44.900000+00:00
2338,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:46.110000+00:00
2339,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:40:50.002000+00:00
2340,"Opened eli_christopher_20140915231522.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:01.954000+00:00
2341,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:04.270000+00:00
2342,"Front button clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:14.475000+00:00
2343,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:16.557000+00:00
2344,"Opened Magicchristmasreindeer-by-RobertasPezas.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:20.212000+00:00
2345,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:21.827000+00:00
2346,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:24.404000+00:00
2347,"Opened ChristmasBackgroundforYourDesign-by-WebDesignHot.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,Just flying by to wish you Merry Christmas!,blank,,2014-12-13 17:41:30.343000+00:00
