id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
5153,"Ad for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 14:52:55.633000+00:00
5154,          Hourly restart,blank,blank,blank,blank,2014-12-13 14:58:48.074000+00:00
5155,"Ad for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 15:17:27.945000+00:00
5156,"Anne Hammond-Tooke preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-13 15:17:36.142000+00:00
5157,"Marek Bohacek preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Artists&prefV0=AnneSPACEHammond-Tooke",blank,,blank,,2014-12-13 15:17:51.393000+00:00
5158,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Artists&prefV0=MarekSPACEBohacekANDANDAnneSPACEHammond-Tooke",blank,,blank,,2014-12-13 15:17:55.764000+00:00
5159,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 15:42:38.292000+00:00
5160,"Local preference name button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-13 15:42:43.258000+00:00
5161,"Local preference name button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-13 15:42:45.253000+00:00
5162,"Local artists preference value button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-13 15:42:45.903000+00:00
5163,"Adam Donato preference value button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-13 15:42:48.406000+00:00
5164,"Bijan Peters preference value button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=AdamSPACEDonato",blank,,blank,,2014-12-13 15:42:50.541000+00:00
5165,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=BijanSPACEPetersANDANDAdamSPACEDonato",blank,,blank,,2014-12-13 15:42:53.069000+00:00
5166,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 15:42:55.047000+00:00
5167,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-13 15:42:56.186000+00:00
5168,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 15:42:57.752000+00:00
