id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
2947,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-18 12:54:07.032000+00:00
2948,"Preview for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-18 12:54:07.328000+00:00
2949,"Ad for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-18 12:54:09.143000+00:00
2950,"Opened yasseralireza_20140505090149.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:54:50.767000+00:00
2951,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:54:54.500000+00:00
2952,"Opened KearahDonatoNoPeeing.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:54:56.382000+00:00
2953,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:54:57.428000+00:00
2954,"Opened running.river_20141029011004.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:55:47.170000+00:00
2955,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:55:51.980000+00:00
2956,"Back of card button clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:55:52.425000+00:00
2957,"Inside button or suggested text clicked,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:55:55.306000+00:00
2958,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:56:01.858000+00:00
2959,"Opened eli_christopher_20140913052020.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:56:24.281000+00:00
2960,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:56:25.643000+00:00
2961,"Opened harveycreasey_20141204060711.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:58:43.348000+00:00
2962,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:58:44.603000+00:00
2963,"Opened lunathetuna_20141124011625.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:58:47.107000+00:00
2964,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-18 12:58:49.528000+00:00
2965,          Page timeout,blank,blank,blank,blank,2014-12-18 13:04:40.535000+00:00
