id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
1635,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-21 07:06:46.544000+00:00
1636,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-21 07:06:49.032000+00:00
1637,"Opened CoolGreenChristmasVector-by-Freevectors.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:07:27.776000+00:00
1638,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:07:31.586000+00:00
1639,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:08:02.527000+00:00
1640,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-21 07:08:06.739000+00:00
1641,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-21 07:13:32.701000+00:00
1642,"Opened katherinedevine_20141203191639.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:13:51.699000+00:00
1643,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:13:53.771000+00:00
1644,"Opened katealbee_20141107210323.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:14:40.201000+00:00
1645,"Checkout button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,katealbee_20141107210323.jpg,2014-12-21 07:14:46.682000+00:00
1646,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:14:52.152000+00:00
1647,"Tina Repass preference value button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-21 07:14:54.403000+00:00
1648,"Opened tleighanna_20141109042711.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:14:58.006000+00:00
1649,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:15:00.685000+00:00
1650,"Opened tleighanna_20141109041957.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:15:02.361000+00:00
1651,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:15:03.529000+00:00
1652,"Opened tleighanna_20141109042711.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:15:04.886000+00:00
1653,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Artists&prefV0=TinaSPACERepass",blank,,blank,,2014-12-21 07:15:14.493000+00:00
