id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
4125,"Preview for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 12:14:59.072000+00:00
4126,"Preview for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 12:15:25.478000+00:00
4127,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:25:21.341000+00:00
4128,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:25:24.692000+00:00
4129,"Subcategory Christmas button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:25:26.501000+00:00
4130,"Suggestive button,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:25:32.511000+00:00
4131,"Suggestive TOGGLE,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-16 17:25:34.837000+00:00
4132,"Opened tinybee_20141031052126.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:45.008000+00:00
4133,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:46.337000+00:00
4134,"Opened tinybee_20141031052726.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:51.693000+00:00
4135,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:52.778000+00:00
4136,"Opened brocards_20141206215232.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:56.609000+00:00
4137,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:25:58.332000+00:00
4138,"Opened harveycreasey_20141203214302.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:26:13.931000+00:00
4139,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Christmas/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-16 17:26:30.140000+00:00
4140,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:26:32.673000+00:00
4141,"Artist search for Harvey Creasey,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-16 17:26:35.861000+00:00
4142,"Opened harveycreasey_20141203214712.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Harvey%20Creasey",blank,,blank,,2014-12-16 17:28:12.556000+00:00
4143,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Harvey%20Creasey",blank,,blank,,2014-12-16 17:28:14.576000+00:00
4144,"Opened harveycreasey_20141204055834.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Harvey%20Creasey",blank,,blank,,2014-12-16 17:28:16.140000+00:00
4145,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Harvey%20Creasey",blank,,blank,,2014-12-16 17:28:17.711000+00:00
4146,"Opened harveycreasey_20141204060454.jpg,URL=http://127.0.0.1:8000/kiosk/Artists/?artistSearch=Harvey%20Creasey",blank,,blank,,2014-12-16 17:28:20.010000+00:00
