id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
4116,"Ad for Christmas,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 07:13:34.941000+00:00
4117,"Opened tinybee_20141031052726.jpg,URL=http://127.0.0.1:8000/kiosk/Christmas/",blank,,blank,,2014-12-13 07:13:39.356000+00:00
4118,          Hourly restart,blank,blank,blank,blank,2014-12-13 07:19:34.195000+00:00
4119,"Ad for Call to Action,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 14:23:05.215000+00:00
4120,"Suggestive button,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-13 14:23:33.027000+00:00
4121,"Suggestive button,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-13 14:23:35.560000+00:00
4122,"Suggestive TOGGLE,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-13 14:23:41.143000+00:00
4123,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Suggestive&prefV0=Suggestive",blank,,blank,,2014-12-13 14:23:54.031000+00:00
4124,"Shop Holidays button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 17:18:18.379000+00:00
4125,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 17:55:22.068000+00:00
4126,          Hourly restart,blank,blank,blank,blank,2014-12-13 18:01:13.430000+00:00
4127,"Shop Artist button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 18:15:26.716000+00:00
4128,"Shop Collections button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 18:15:35.944000+00:00
4129,"Subcategory Everything button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-13 18:15:37.716000+00:00
4130,"Local artists preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/",blank,,blank,,2014-12-13 18:16:23.624000+00:00
4131,"Opened denbento_20141001084527.jpg,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-13 18:16:49.244000+00:00
4132,"X button used to close,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-13 18:16:59.177000+00:00
4133,"Christopher Crowley preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060",blank,,blank,,2014-12-13 18:17:02.802000+00:00
4134,"stephan sabo preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=ChristopherSPACECrowley",blank,,blank,,2014-12-13 18:17:06.822000+00:00
4135,"Allie Kelley preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=stephanSPACEsaboANDANDChristopherSPACECrowley",blank,,blank,,2014-12-13 18:17:11.076000+00:00
4136,"Jerry Rendich preference value button,URL=http://127.0.0.1:8000/kiosk/Everything/?prefN0=Local&prefV0=24060&prefN1=Artists&prefV1=AllieSPACEKelleyANDANDstephanSPACEsaboANDANDChristopherSPACECrowley",blank,,blank,,2014-12-13 18:17:17.287000+00:00
4137,Nathan Cooke preference value button,blank,,blank,,2014-12-13 18:17:41.374000+00:00
4138,Adam Donato preference value button,blank,,blank,,2014-12-13 18:17:50.697000+00:00
4139,Jackie Harder preference value button,blank,,blank,,2014-12-13 18:17:59.473000+00:00
4140,Den Bento preference value button,blank,,blank,,2014-12-13 18:18:06.204000+00:00
4141,Davis Snider preference value button,blank,,blank,,2014-12-13 18:18:09.816000+00:00
4142,Katherine Devine preference value button,blank,,blank,,2014-12-13 18:18:28.956000+00:00
4143,Molly Helton preference value button,blank,,blank,,2014-12-13 18:18:39.280000+00:00
4144,Ida Kao preference value button,blank,,blank,,2014-12-13 18:18:52.440000+00:00
4145,Caitlyn Keir preference value button,blank,,blank,,2014-12-13 18:19:07.075000+00:00
4146,Kearah Donato preference value button,blank,,blank,,2014-12-13 18:19:22.696000+00:00
4147,Gerri Young preference value button,blank,,blank,,2014-12-13 18:19:35.491000+00:00
4148,Opened KearahDonatoOrchid.jpg,blank,,blank,,2014-12-13 18:19:38.304000+00:00
4149,X button used to close,blank,,blank,,2014-12-13 18:19:39.729000+00:00
4150,Marielle Stoeltzing preference value button,blank,,blank,,2014-12-13 18:19:55.877000+00:00
4151,Hannah Stafford preference value button,blank,,blank,,2014-12-13 18:20:14.151000+00:00
4152,Local Yocal preference value button,blank,,blank,,2014-12-13 18:20:32.770000+00:00
4153,Megan Lopez preference value button,blank,,blank,,2014-12-13 18:21:02.857000+00:00
4154,Bijan Peters preference value button,blank,,blank,,2014-12-13 18:21:17.538000+00:00
